[219.52138228941683, 'soare']
[229.96371490280777, 'saine']
[232.59481641468682, 'saice']
[236.49805615550756, 'raise']
[241.10410367170627, 'raile']
[248.4414686825054, 'coate']
[248.66393088552917, 'roate']
[250.94470842332615, 'salet']
[252.4669546436285, 'slate']
[252.52483801295895, 'slane']
[253.47386609071273, 'toile']
[253.6254859611231, 'raine']
[254.3356371490281, 'arise']
[256.19697624190064, 'slier']
[259.844060475162, 'saute']
[260.20043196544276, 'ariel']
[260.38704103671705, 'toise']
[261.6207343412527, 'sorel']
[263.2868250539957, 'stoae']
[263.7187904967603, 'haole']
[263.9317494600432, 'arose']
[265.4730021598272, 'paire']
[265.4829373650108, 'salue']
[267.0319654427646, 'irate']
[267.0475161987041, 'sauce']
[267.1883369330454, 'orate']
[267.3818574514039, 'snare']
[270.2263498920086, 'uraei']
[271.20561555075597, 'saner']
[271.9365010799136, 'sayne']
[273.7218142548596, 'maire']
[274.01166306695467, 'saree']
[274.5952483801296, 'louie']
[274.8548596112311, 'liane']
[274.96112311015116, 'soler']
[275.6557235421166, 'socle']
[276.08596112311017, 'crate']
[276.19308855291575, 'carse']
[278.16673866090713, 'canoe']
[278.1788336933045, 'carle']
[278.5157667386609, 'sonce']
[278.69287257019437, 'urate']
[279.2410367170626, 'stale']
[280.16414686825055, 'paise']
[280.6475161987041, 'maise']
[280.7598272138229, 'cosie']
[281.6630669546436, 'alone']
[281.977969762419, 'soyle']
[281.99308855291576, 'caret']
[282.27732181425483, 'crane']
[282.42246220302377, 'trace']
[282.43239740820735, 'oriel']
[283.1352051835853, 'stare']
[283.267818574514, 'stane']
[283.46133909287255, 'noise']
[283.49676025917927, 'solei']
[283.5282937365011, 'urase']
[283.9231101511879, 'siler']
[284.28250539956804, 'shale']
[285.05313174946, 'carte']
[285.12613390928726, 'slice']
[285.65313174946004, 'soave']
[286.4133909287257, 'sarge']
[286.7641468682505, 'soree']
[286.7987041036717, 'sared']
[286.8557235421166, 'snore']
[287.60302375809937, 'poise']
[287.7758099352052, 'potae']
[287.88725701943844, 'siren']
[288.0889848812095, 'share']
[288.3585313174946, 'souce']
[289.27127429805614, 'strae']
[289.49330453563715, 'solar']
[289.54211663066957, 'hoise']
[290.06911447084235, 'porae']
[290.1006479481641, 'torse']
[290.2911447084233, 'slart']
[290.46479481641467, 'slade']
[290.73261339092875, 'stole']
[291.15680345572355, 'trone']
[291.74686825053993, 'arsey']
[291.86609071274296, 'cause']
[292.3269978401728, 'crise']
[292.3801295896328, 'ariot']
[292.422030237581, 'sabre']
[292.4643628509719, 'teary']
[292.5002159827214, 'maile']
[292.5796976241901, 'artel']
[293.1727861771058, 'scare']
[293.58228941684666, 'siree']
[293.6259179265659, 'corse']
[293.82246220302375, 'sayer']
[293.9961123110151, 'leant']
[294.16241900647947, 'alure']
[294.2967602591793, 'moire']
[294.5952483801296, 'aisle']
[294.770626349892, 'roule']
[295.32397408207345, 'anole']
[295.4427645788337, 'scale']
[295.785313174946, 'suite']
[295.8414686825054, 'aline']
[296.0626349892009, 'litre']
[296.21900647948166, 'trail']
[296.31058315334775, 'saint']
[296.38315334773216, 'stire']
[296.6656587473002, 'moile']
[297.2285097192225, 'seral']
[297.2544276457883, 'loure']
[297.5628509719223, 'atone']
[297.75421166306694, 'daine']
[297.90583153347734, 'larnt']
[298.1330453563715, 'solde']
[298.22159827213824, 'taler']
[298.6332613390929, 'seity']
[298.6673866090713, 'trine']
[298.7952483801296, 'close']
[298.8634989200864, 'scrae']
[299.0129589632829, 'sarin']
[299.12656587473003, 'saned']
[299.18920086393086, 'ursae']
[299.1904967602592, 'clote']
[299.3460043196544, 'sonar']
[299.49935205183584, 'irone']
[299.69676025917926, 'liart']
[299.6997840172786, 'ourie']
[299.71187904967604, 'anise']
[300.0717062634989, 'prate']
[300.739524838013, 'soral']
[300.770626349892, 'ayrie']
[300.9866090712743, 'sated']
[301.1840172786177, 'parle']
[301.41727861771056, 'store']
[301.4708423326134, 'serai']
[301.49719222462204, 'aloes']
[302.1097192224622, 'aesir']
[302.2034557235421, 'rayne']
